Movies when ATG13 engulfment is orthogonal to the observer (they show a circle),
These should be used for parameter estimation (psi=pi/2),
,
,
File,Circle Event
MAX_Cell_7_b,12/50
MAX_Cell_7_b,18/50
MAX_Cell_7_b,27/50
MAX_Cell_7_e,16/40
MAX_Cell_7_f,18/55
MAX_Cell_7_f,27/55
MAX_Cell_3_b,56/96
MAX_Cell_5_a,64/124
,
(less clear),
MAX_Cell_2_c,53/73
MAX_Cell_6_a,6/42
MAX_Cell_6_c,22/40
MAX_Cell_6_e,32/55
